Linux 5.19.0-43-generic (lsl-PC) 	06/10/2023 	_x86_64_	(16 CPU)

12:39:07 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
12:39:28 AM      11      0.00      0.00      0.00      0.00      0.00    100.00
12:39:28 AM      12      1.00      0.00      0.00      0.00      0.00     99.00
12:39:28 AM      13      0.00      0.00      0.00      0.00      0.00    100.00
12:39:28 AM      14      4.00      0.00      1.00      0.00      0.00     95.00
12:39:28 AM      15      1.01      0.00      1.01      0.00      0.00     97.98

12:39:28 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
12:39:29 AM     all      2.01      0.00      0.38      0.00      0.00     97.61
12:39:29 AM       0      0.00      0.00      0.00      0.00      0.00    100.00
12:39:29 AM       1      6.06      0.00      1.01      0.00      0.00     92.93
12:39:29 AM       2      3.03      0.00      0.00      0.00      0.00     96.97
12:39:29 AM       3      0.00      0.00      0.00      0.00      0.00    100.00
12:39:29 AM       4      0.99      0.00      0.99      0.00      0.00     98.02
12:39:29 AM       5      0.00      0.00      0.00      0.00      0.00    100.00
12:39:29 AM       6     12.00      0.00      0.00      0.00      0.00     88.00
